Film name,Genre,Plot,Directed by,Written by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Budget,Box office
Graveyard Shift (1990 film),Monster,"Jason Reed is working the graveyard shift at a rat-infested textile mill that has recently been reopened. Reed is surrounded by rats, and attempts to drive them away by throwing one rat into a cotton picker. When the rats do not leave, Reed prepares to throw another one into the cotton picker when he is attacked by a large unseen creature which pushes him into the cotton picker where he is torn apart.
Some time later, widowed drifter John Hall is hired by the sadistic mill foreman, Warwick. Warwick has been carrying on numerous affairs with female workers, the latest being Nordello. Warwick has refused to close the mill despite the rat infestation, hiring an eccentric rat exterminator and Vietnam veteran Tucker Cleveland to take care of the rat problem. Cleveland confides in Hall that he is unable to kill all of the rats and the mill should be shut down, explaining that both the sheer number of rats and their intelligence overwhelm him. In the following weeks, Hall is bullied by both his fellow workers Danson, Brogan, and Stevenson, and Warwick, who holds a special hatred for him. Warwick is informed that the basement must be cleaned up to make way for new offices. Warwick assigns Stevenson to look through the basement before he assigns a crew to clean it out. Stevenson is grabbed by the creature and dragged away.
Hall befriends his fellow worker Jane Wisconsky, who sympathizes with him. Jane and Hall begin a romantic relationship. Warwick replaces Stevenson with new hire Charlie Carmichael. Warwick assigns Nordello to the cleanup crew, much to her outrage. As revenge, she attacks Warwick’s car with a fire ax. Warwick attacks her, but is stopped by Hall. Warwick assigns Hall, Carmichael, Brogan, Danson, Wisconsky, and Ippeston to clean the basement. Ippeston is fired by Warwick after he calls Warwick out for forcing the group to kill the rats in the basement. That night, Nordello breaks in to steal documents showing recommendations for the mill’s closure from Warwick. Nordello falls down the stairs into the basement, where the creature devours her. Warwick blackmails Cleveland for polluting the nearby river with chemicals and dead rats and forces him to investigate the nearby graveyard, believing it to be the nesting place for the rats. Cleveland investigates with his rat hunting dog Moxie, who leads him into a crypt. Cleveland is killed when he slips on unsteady, muddy ground, causing an above ground casket to slide, crashing into his head.
Hall discovers a trap door leading to an abandoned part of the mill. Hall believes it to be the nesting ground of the rats. Warwick forces Hall to enter with a fire hose to kill the rats. Hall agrees on the condition he have help in handling the fire hose, and chooses his partner to be Warwick. Wisconsky also volunteers, and Warwick forces the whole group to go. Brogan is startled by a severed arm and attempts to flee up the stairs, only to break the fire hose and fall into a large underground river. The creature enters the pool and drags Brogan underwater. Hall and Wisconsky also fall in, but grab onto a floating coffin to avoid drowning. Warwick, Danson, and Carmichael flee. Carmichael discovers a small cavern and they go into it in the hopes of escaping. Carmichael attempts to break through a small hole to escape, only for his arm to be torn off by the creature. Danson and Warwick abandon him, and Carmichael is killed. Danson refuses to move and Warwick goes to find an escape route. Danson is attacked by the creature, and Warwick rushes to help him, only to be too late. Warwick flees, but trips and falls down several stories.
Hall and Wisconsky discover the creature’s lair, a large cavern filled with human and animal bones. Wisconsky discovers Warwick with a severe head wound buried beneath a pile of bones. Now insane, Warwick attacks Hall and Wisconsky, engaging Hall in a brutal battle. Wisconsky attempts to stop him, only to be stabbed by Warwick with a knife. Warwick flees from a vengeful Hall, only to discover the creature: a large, bat-like rat. Warwick attacks and injures it, only to be killed and devoured. Seeing this, Hall flees and manages to escape into the mill. The creature follows him and attacks him, only for its tail to be caught in the cotton picker. Hall turns on the cotton picker, tearing the creature apart. The final shot shows a sign outside the still-open mill, stating the mill is under new management.",Ralph S. Singleton,,,William J. Dunn/ Ralph S. Singleton,David Andrews/ Kelly Wolf/ Stephen Macht/ Brad Dourif,Peter Stein,Jim Gross/ Randy Jon Morgan,Brian Banks/ Anthony Marinelli,,Paramount Pictures (North America and Japan)/ Columbia Tri-Star Film Distributors International (International),"October 26, 1990",86 minutes,$10.5 million,$11.6 million
Gremlins,Monster,"Struggling inventor Randall Peltzer visits a Chinatown antique store, hoping to find a Christmas present for his son Billy. Inside, Randall encounters a small, furry creature called a mogwai (Cantonese: 魔怪, 'devil'). The owner, Mr. Wing, refuses to sell Randall the creature, but his grandson secretly does, warning Randall to remember three important rules: do not expose the mogwai to light, especially sunlight, which will kill it; do not let it come in contact with water; and above all, never feed it after midnight.
Randall returns home to Kingston Falls where he gives the mogwai to Billy as a pet. Billy works in the local bank, but fears that his dog Barney will be put down by the widowed, miser Mrs. Deagle. Randall names the mogwai ""Gizmo"" and explains the three rules. When Billy's young friend Pete accidentally spills water over Gizmo, five more mogwai spawn from his back, a more troublemaking sort led by the aggressive Stripe, named for the tuft of fur on his head. Billy shows one of the mogwai to his former elementary school science teacher, Mr. Hanson, spawning another mogwai, on whom Hanson experiments. Back at home, Stripe and his fellow mogwai trick Billy into feeding them after midnight by severing the power cord on his alarm clock. They form cocoons, as does Hanson's mogwai, which soon hatch, emerging as mischievous, dark green, reptilian monsters, who then torture Gizmo and attack Billy's mother, Lynn. Hanson is killed by his gremlin.
Lynn and Billy are able to kill off the gremlins, except for Stripe, who escapes to a local YMCA. There, Stripe jumps into the swimming pool, spawning an army of gremlins who wreak havoc in Kingston Falls. Many people are injured or outright killed by the gremlins' rampage, including Mrs. Deagle.
As Billy rescues his girlfriend, Kate Beringer, they hide in the now-abandoned bank where Kate reveals to Billy and Gizmo why she hates Christmas: when she was nine years old, her father went missing on Christmas Eve and did not come home on Christmas Day either; several days later, he was found dead in their chimney while dressed as Santa Claus. Planning to surprise her and her mother, he had accidentally slipped and broken his neck while climbing down the chimney. Still suffering from post-traumatic stress disorder because of the event, Kate confesses this is how she discovered the truth about Santa Claus.
Billy and Kate discover that the town has fallen silent and the gremlins are watching Snow White and the Seven Dwarfs in the local theater. They set off a natural gas explosion, incinerating all the gremlins except for Stripe, who left to commandeer more candy at a Montgomery Ward store across the street. As morning approaches, they follow Stripe into the department store, where Stripe attempts to use a water fountain to spawn more gremlins. Gizmo opens a skylight, exposing Stripe to sunlight, killing him.
As the local news reports on the day's mysterious tragedies, Mr. Wing reclaims Gizmo at the Peltzer home. He criticizes both the Peltzers' and Western society for their carelessness with Nature. However, as he turns to leave, Gizmo, having bonded with Billy, bids the young man goodbye. A touched Mr. Wing then concedes that Billy may be ready one day, and until then, Gizmo will be waiting.",Joe Dante,Chris Columbus,,Michael Finnell,Zach Galligan/ Phoebe Cates/ Hoyt Axton/ Polly Holliday/ Frances Lee McCain,John Hora,Tina Hirsch,Jerry Goldsmith,,Warner Bros.,"June 8, 1984",106 minutes,$11 million,$212.9 million
Gremlins 2: The New Batch,Monster,"After his owner Mr. Wing dies, the mogwai Gizmo becomes the guinea pig of scientists at a lab in the Clamp Center, a state-of-the-art highrise building in Manhattan, owned by eccentric billionaire Daniel Clamp. At the mercy of the chief researcher Dr. Catheter, Gizmo is rescued by his former owner Billy Peltzer and his fiancée Kate, both of whom work elsewhere in the building. Clamp befriends Billy upon being impressed by his skills in concept design, sparking the interest of Billy's superior Marla Bloodstone. Gizmo is left in the office, where water spills on his head from a broken drinking fountain and spawns four new mogwai, one of them being Mohawk, a reincarnation of Stripe. They cage Gizmo in the air vents and later eat at the building's food court after midnight, becoming gremlins.
After Gizmo escapes from the vent, Mohawk captures and tortures him. The other gremlins set off the fire sprinklers and spawn a gremlin army that throws the building into chaos. Billy attempts to lure the gremlins into the lobby, where sunlight will kill them; after Billy briefs Clamp on gremlin knowledge, Clamp exits through a secret tunnel to cover the front of the building in a giant sheet to trick the creatures. The gremlins drink genetic serums in the lab; one becomes the intelligent Brain Gremlin, another gremlin becomes female, and a third becomes a being of pure electricity and kills Dr. Catheter before Billy traps it in the building's telephone system. All the while, television host ""Grandpa Fred"" films the chaos, aided by a Japanese tourist named Mr. Katsuji.
Murray Futterman, Billy's neighbor from Kingston Falls who is visiting New York City with his wife Sheila, is attacked by a bat-gremlin hybrid immunized to sunlight by the Brain Gremlin with ""genetic sunblock"". After fending it off, Murray realizes that he is not crazy and has to help; when Clamp escapes the building using his secret route, Murray uses it to sneak inside to aid Billy. Billy and chief of security Forster team up, but the enamored female gremlin chases Forster off. Mohawk drinks a spider serum and transforms into a monstrous gremlin-spider hybrid. He attacks Kate and Marla, but Gizmo saves them by killing Mohawk with an ignited bottle of white-out.
Billy's plan to kill the gremlins by flooding the lobby with sunlight fails when rain clouds block the sun. He instead directs Murray to spray the gremlins with a fire hose, then releases the electric one from the telephone to electrocute and melt them all. Clamp charges in with the police and press, but sees the conflict is resolved; thrilled by the result, he promotes Billy, Kate, Fred, and Marla and hires Mr. Katsuji as a cameraman. Billy and Kate then return home with Gizmo. Forster calls Clamp to notify him that he is trapped at the highest floor of the building. The female gremlin, the sole survivor of the horde, corners him and entices him to marry her.",Joe Dante,Charles S. Haas,,Michael Finnell,Zach Galligan/ Phoebe Cates/ John Glover/ Robert J. Prosky/ Robert Picardo/ Christopher Lee/ Haviland Morris/ Howie Mandel/ Tony Randall,John Hora,Kent Beyda,Jerry Goldsmith,,Warner Bros.,"June 15, 1990",106 minutes,$30–50 million,$41.5 million (US/Canada)
Growth (film),Monster,"In 1989 on Cuttyhunk Island, scientist Mason Lane used microscopic parasites to advance human evolution. The experiment resulted in stronger, smarter, healthier humans, but something went wrong and three quarters of the island's residents died.
20 years later, teenagers Jamie, Kristen, Marco, and Justin, take a boat ride to Cuttyhunk Island. Jamie, whose father spearheaded the original project which created the parasites, begins having flashbacks about the project and its effect on her family. She receives a visit from Larkin, another scientist on the project, who informs her that she will be losing money from her inheritance of Cuttyhunk. Meanwhile, Kristen and Justin are outside chopping wood and begin to flirt. They walk by a river and Kristen says if Justin treads water and sees a bird, then he'll get ""whatever you want.” As he heads out to the river, a mysterious figure at the other end of the riverbank sends one of the parasites after him and Justin is infected. Kristen runs back to Jamie and Marco and tells them something is wrong with Justin. The trio return to Justin, who is convulsing, pick him up, and take him back to his room. Justin makes a full recovery with his senses drastically heightened.
Justin heads to a local bar, where he gets into a fight. His heightened abilities enable him to win easily. Justin makes out with his opponent's girlfriend until he begins to choke and rip out part of her neck. He awakens the next morning, unsure whether it was a dream or not.
Kristen finds a large cemetery of numerous individuals, all dated 1989, and the mysterious figure attacks her and shoves the parasite in his mouth down hers.
Marco and Jamie meet Larkin and another scientist, Dr. Macavire, who ask to see Justin. When Jamie and Marco run away to warn Justin, Jamie is kidnapped by the mysterious figure and taken back to his house. Justin finds Kristen's mutilated body as the militia approach him. Justin kills the militia men and Marco is killed in the crossfire. A policeman notices a parasite sliding back up Dr. Macavire's leg and shoots him.
The mysterious figure reveals himself to be Mason Lane, Jamie's father, who explains he developed an antidote formula. Jamie escapes with the antidote to combat him and alert Larkin. Jamie douses Mason in salt water, killing him and releasing the parasites within him. Larkin and Jamie escape the laboratory as the parasites swarm after them. Larkin reveals that Dr. Macavire was trying to lure Jamie with suggestions of inheritance of the island, assuming that Jamie had carried the antidote with her.
Larkin tells Jamie to get one of the boats to escape, but Justin emerges to stop them. Justin kills Larkin and pleads with Jamie not to leave him on the island. Jamie escapes without him, only to discover she is infected as well. She jumps into the sea to destroy the parasites.
An epilogue set in South Korea six months later suggests the parasites are still active.",Gabriel Cowan,Gabriel Cowan,,Amiee Clark,Mircea Monroe,,John Suits,Tim Ziesmer,,Free Dolphin Entertainment/ SP Films/ Anchor Bay Entertainment,"January 18, 2010",90 minutes,,
Guyver: Dark Hero,Monster,"One year after bonding with the Guyver unit and destroying the Cronos Corporation, the company responsible for the Guyver and the creatures called the Zoanoids, in Los Angeles, Sean Barker has been using his powers to fight crime. Unfortunately, the Guyver unit’s desire to kill has left Sean emotionally exhausted. Learning of cave drawings that resemble the images he has been seeing in his dreams discovered in the mountains of Utah, Sean makes his way to the archeological dig taking place there. Along the way, he encounters Cori Edwards, daughter of Marcus Edwards, the lead archeologist at the site.
Upon arrival, Sean discovers a skull resembling Lisker's, a Zoanoid that he fought a year ago. Later that night, Sean battles a Zoanoid called Volker, which has been terrorizing the archeological dig. When their battle is cut short by the arrival of Cori and her team (which enables Volker to escape), Sean is questioned by a suspicious Commander Atkins, who reveals that the Guyver only destroyed the Los Angeles branch of the Cronos Corporation and that another branch of Cronos is behind the Zoanoid attacks in the mountains.
The very next day, the team of archaeologists unearths an extraterrestrial ship. After several unsuccessful attempts to breach it, the ship mysteriously opens up a hatch for the archaeologists to enter.  Inside, Sean communicates with the ship and demands that it removes the Guyver unit from within him. Meanwhile, Cori discovers a damaged Guyver unit, but Arlen Crane confiscates it from her. Attempting to confront Crane, Cori instead learns that Arlen Crane actually works for the Cronos Corporation and plans to terminate all non-Cronos personnel at the site. She is captured by Volker eavesdropping and is escorted in a jeep. The jeep is attacked by Marcus, revealed to be a Zoanoid, who battles both Monk and Volker Zoanoids but is eventually overwhelmed. At the camp, Crane reveals himself as a Zoanoid to Sean, who rejects his offer of an alliance to activate the ship and turn himself and the Zoanoids back to normal. Crane has his chief of security, Brandi Harris, sedate and bind Sean. Atkins frees Sean who rushes to save Cori as the Guyver. After killing both Monk and Volker Zoanoids, the Guyver spares Marcus and reveals his identity to Cori.
At the camp, Atkins and his commandos prevent Crane from executing the archaeological team and safely evacuate them. However, Atkins is captured and his commandos are brutally murdered by one of the escaping Zoanoids.
Sean reveals to Cori that he plans to destroy the ship. Whilst Sean communicates with the ship, seeing images of prehistoric times with the creation of Zoanoids and the Guyver units, Cori plants dynamites in the dig site but is captured by Crane and his Zoanoids. With Cori as a hostage, Crane demands Sean to deactivate the Guyver unit and surrender. Marcus intervenes and a battle ensues: Marcus battles Crane but is killed in the process, Atkins manage to kill Brandi, a Zoanoid as well, after electrocuting and finally shooting her dead. Sean kills the remaining Zoanoids and confronts Crane, who reveals he had merged with the damaged Guyver unit and transforms into a Guyver-Zoanoid. Faster and stronger, he overwhelms Sean, stabbing him in the chest, but Cori shoots Crane’s Control Medal. Sean removes the damaged Control Medal - which causes the Guyver suit to consume Crane - and uses his Mega Smasher to put Crane out of his misery.
Following the events, Sean reveals to Cori that the Guyvers were a failed experiment: in prehistoric times, aliens had attempted to turn primitive humans into Guyvers to fight their wars, but the humans rebelled, forcing the aliens to leave Earth. Using his Control Medal, Sean instructs the ship to return to its home planet. With the battle won, Atkins attempts to recruit Sean to aid the government in fighting an underground war against the Cronos Corporation, but Sean refuses and drives off with Cori instead.",Steve Wang,,,Steve Wang,David Hayter/ Kathy Christopherson/ Christopher Michael,Michael G. Wojciechowski,Russ Kingston/ Steve Wang,Les Claypool III,,New Line Cinema,"April 20, 1994",123 minutes,,
Hair-Raising Hare,Monster,"One dark night, Bugs Bunny pokes up out of his rabbit hole, dressed in a nightshirt and holding a candle, and tells the audience, ""Did you ever have the feeling you were being watched?"" In fact, he is being watched by an evil scientist (a caricature of Peter Lorre) who is planning to catch a rabbit to provide dinner for his large, hairy, orange sneaker-wearing monster (Gossamer).
The scientist lures Bugs to his castle via a shapely robotic female rabbit, with a large wind-up key in the back, and accompanied by ""Oh, You Beautiful Doll"". Once Bugs gets to the castle and begins kissing the mechanical rabbit on the hand, the robot malfunctions and breaks into pieces. Bugs faces the audience and says, ""That's the trouble with some dames... kiss 'em and they fly apart!""
Bugs heads for the door, but the scientist persuades him to stay and meet another ""little friend"". When it becomes clear that this ""friend"" is a ferocious beast, Bugs vigorously shakes the scientist's hand ""Goodbye!"" and launches into a schtick where he packs luggage for a vacation trip, accompanied by a very brassy rendition of ""California, Here I Come"". Just before bolting for the door, he tells the scientist, ""And don't think this hasn't been a little slice of heaven...'cause it hasn't!"" He then bolts for the door. The scientist releases Gossamer who chases Bugs.
Bugs hides behind a door that Gossamer is trying to break through, and he cries out, ""Is there a doctor in the house?"" A silhouette, seemingly from the theater audience, stands up and offers, ""I'm a doctor."" Bugs suddenly relaxes, starts munching a carrot, and asks, ""What's up, Doc?"", just before Gossamer breaks through and the chase resumes.
Bugs Bunny and Gossamer pass by a mirror; Gossamer looks at the mirror, then his reflection runs away screaming; Gossamer looks at the audience and shrugs. Bugs acts as a lamp; he dances and taunts Gossamer by calling ""Hey, Frankenstein!"". Bugs and Gossamer keep running until a door on the floor opens and a rock falls into the empty space. While Bugs is tip-toe-ing backwards and praying, he bumps into Gossamer. He comes up with an idea and gives him a manicure. He puts the monster's fingers into the water to have his fingernails cut, but it contains two mousetraps. The monster yelps in pain, and then sobs.
Bugs twice thinks he has escaped.  The first time, the monster is hiding behind a picture frame and Bugs apparently was not aware until he poked Gossamer in the eye. The second time, Gossamer is following Bugs behind a wall until Bugs marks where he previously was and smashes the mark with a giant mallet when Gossamer appears behind it.  The wall crumbles and a barely-conscious Gossamer quickly follows. The third time, Gossamer is in a knight's armor, holding an axe above his head.  He gets hit by Bugs Bunny in his locomotive-style knight-riding horse, causing him to hit the wall to turn into a can called ""Canned Monster"". However, as Bugs saunters off toward the exit, singing to himself, Gossamer gets the bunny in his clutches. Bugs repeats his opening line, ""Did you ever have the feeling you were being watched?"", and Gossamer's expression changes from anger to anxiety. Bugs points to the audience. Gossamer shrieks, ""People!"" and runs away screaming, breaking through a series of walls, leaving his cartoon outline in all of them.
Having ""re-re-disposed of the monster"", Bugs is about to ""exit stage right"", when the female robo-rabbit re-appears, intact, and again accompanied by ""Oh, You Beautiful Doll"". Bugs snickers, ""Mechanical!"" Then the robot smooches him on the cheek, leaving a lipstick mark on the smitten bunny, who says, ""Well, so it's mechanical!"" He assumes a robot-like gait (with his tail magically rotating like the robot's wind-up key) and follows her off the screen.",Charles M. Jones,,Tedd Pierce,Edward Selzer,Mel Blanc,,,Carl W. Stalling,,Warner Bros. Pictures/ The Vitaphone Corporation,"May 25, 1946",7:41,,
Hallowe'en (1931 film),Monster,"At a Halloween costume party, a jolly Toby dances around. He kisses several girls but each reacts with dismay and runs away. Tessie confronts Toby, who kisses her a few times and she slaps him. She then complains to Toby about trying to spoil her party, and threatens to tell his mother about it. To placate her, Toby offers to play the piano. He plays while the other guests listen, including a goat who eats various household objects, including the piano keys. A church bell chimes and Toby warns everyone that this is the witching hour.
Meanwhile, a witch and various supernatural creatures are flying above. They fall through the chimney and frighten the party guests. Toby fights with several ghosts.  When a number of ghosts surround him, he emulates a rooster's crow which frightens the ghosts and they flee. Toby and Tessie notice an egg on the floor which hatches into a small ghost who calls Toby ""daddy"".",Dick Huemer/ Sid Marcus,,,Charles Mintz,,,,,,RKO Radio Pictures,"May 1, 1931",6:07,,
The Halloween That Almost Wasn't,Monster,"After hearing rumors from a TV newscaster that Halloween may end and that he is being blamed, Count Dracula exclaims, ""How dare they suggest such a thing? Halloween is my national holiday!"" and he calls the world's most famous monsters—Warren the Werewolf a.k.a. Wolf Man (Jack Riley) of Budapest, Frankenstein's monster (John Schuck), Zabaar the Zombie (Josip Elic) of Haiti, the Mummy of Egypt and the Witch - to his castle to make them frightening again. Dracula believes that the problem is that the monsters have ""exploited their monsterhood""  to the point of being funny rather than scary; for example, Frankenstein's monster has let a film influence him into tapdancing rather than frightening people. As it turns out, the rumor about Halloween coming to an end was started by the Witch herself; sick of jokes about how ugly she is, she no longer wishes to participate and without her annual ride over the moon, there can be no Halloween. She has prepared a list of demands, which Dracula refuses to meet, so she rides off to her own castle.
Dracula pursues the Witch as a bat, but realizes that the sun is about to come up and he goes back into his mausoleum. The next evening, on the night before Halloween, he and the other monsters break into the Witch's castle. They have her cornered, but she turns a painting of the Three Musketeers into minions. After a brief chase scene using The Munsters-style fast motion, the Witch is cornered in a room, while Igor (Henry Gibson) has her broom. Dracula turns into a bat again to sneak under the door, but gets smashed by the Witch and comes back; Igor tries climbing on a ledge and swinging into the room through a window Hunchback of Notre Dame-style, only to have the Witch open the door so he goes right back outside. ""It's one of those days I wish I was dead,"" Dracula declares. ""And stayed dead.""
Although Dracula finally gives in to the Witch's demands (including a randomly added wish for him to take her disco dancing every night), she suddenly changes her mind and decides not to go along. Then, a pair of children who were watching the newscast of the events on TV appear outside the door, one dressed as the Witch, and plead with her, telling her they love her the way she is. Moved by the children, she does her ride over the moon as promised.
The film concludes with a disco scene during which the Witch transforms into a disco queen resembling the character Stephanie Mangano from the movie Saturday Night Fever by doing a Wonder Woman-style spin, and Dracula, figuring he may as well go with the flow, rips off his costume to reveal a Tony Manero-esque leisure suit mimicking John Travolta's character from that same movie.",Bruce Bilson,Liz Argo/ Coleman Jacoby,,,"Judd Hirsch, Mariette Hartley, Henry Gibson, Jack Riley, John Schuck, Robert Fitch",Peter Sova,,,Concepts Unlimited,,,25 minutes,,
Halloweentown (film),Monster,"The film opens with Marnie Piper and her mother, Gwen, arguing over why she and her younger siblings Dylan and Sophie cannot go out for Halloween. Gwen's mother Aggie shows up for her annual Halloween visit. The children are happier to see Aggie than Gwen is, as Aggie openly encourages the children to get more involved in Halloween. Aggie and Gwen are secretly witches, but Gwen is determined to live a normal life as a mortal instead.
Despite objections from Gwen, Aggie is intent on training Marnie as a witch. Before heading home, Aggie reads the children a bedtime story called ""Halloweentown"", about a mystical place where witches, vampires and monsters of all sorts live in peace away from mortals. Sophie points out a drawing of a witch in the book that resembles Marnie; Aggie does nothing to stop Marnie from imagining such a thing. After putting the children to bed, Gwen and Aggie get into an argument, with Marnie, who has sneaked downstairs, eavesdropping. Gwen is angry that her mother encourages the children to enjoy Halloween, and insists Marnie will be raised as a mortal, like her father was, and not a witch, revealing Marnie is actually a witch too. Aggie doesn't understand why Gwen wants to live without magic, and wants to train Marnie before she turns 13, as at this point without training, she would lose her powers forever. Aggie then asks Gwen for help; citizens of Halloweentown have been disappearing, and while Gwen doesn't take this seriously and says it is possible that the missing have simply moved, Aggie believes that foul play is involved.
When Aggie leaves to return home, Marnie and Dylan covertly follow her. They see Aggie getting onto a magical bus, and sneak onto it through the back door. When they arrive in Halloweentown, Aggie does not see Marnie and Dylan getting off the bus, and the children lose sight of her. At the same time, Marnie and Dylan realize that Sophie has sneaked onto the bus with them. They begin looking for Aggie, and are approached by Kalabar, the mayor of Halloweentown. He whistles for a cab driven by Benny, a skeleton with a bad sense of humor. The children find their grandmother's mansion, and against her better judgment, Aggie decides not to take them back to their home immediately. She says she will start Marnie's witch training, but has to take care of ""the bad thing"" first. She shows her grandchildren what she is talking about: in her cauldron, a vision of a hooded figure appears, laughing maniacally. She says she must activate Merlin's talisman with a spell and potion to defeat the evil creature.
After trying, and failing, to light the talisman with ""instant"" potion, Aggie takes the children back to town to shop for the right ingredients. The family is introduced to Luke, a goblin who was made handsome by a ""shadow creature"". He makes a clumsy pass at Marnie, which she turns down on the spot. Gwen, who had noticed her children were missing and immediately blamed Aggie, arrives in Halloweentown to retrieve them, much to Marnie's objections. Gwen tells the children to say goodbye to Aggie, then takes them to the bus station, but cannot find another bus back to the mortal world according to a two-headed ticket vendor, whose two heads are constantly arguing with each other, and decides to see if the mayor can do anything to help. She is shocked to see that the mayor is Kalabar, an ex-boyfriend of hers. After Kalabar briefly leaves to handle another problem, Gwen and her children see Aggie walking somewhere with Luke. Sensing Aggie might be in trouble, they follow Luke and her to an abandoned movie theater.
Aggie meets the hooded demon in the theater, where the missing Halloweentown citizens have been frozen in time. Aggie declines to give the talisman to the demon. Gwen and the children enter the theater as Luke rushes out in fear. The demon freezes Gwen and Aggie. The children escape, and obtain the necessary ingredients–the hair of a werewolf, the sweat of a ghost, and a vampire's fang–to make the potion that will activate the talisman. They then realize they must place the talisman in the large jack-o'-lantern in the center of the town to defeat the demon.
When they arrive to install it, the demon suddenly appears and reveals himself to be Kalabar, who is bitter that Gwen (whom he used to date when she was a teenager) chose to marry a human instead of him. He starts talking to the townspeople and tries to persuade them to join him and take over the mortal world. With the help of Luke, Marnie slips past Kalabar long enough to climb up onto the jack-o'-lantern and try to place the talisman inside. Kalabar, noticing this, casts a spell to freeze her. As she is about to pass out, Marnie drops the talisman inside the jack-o'-lantern, which causes it to illuminate. This unfreezes her and everyone trapped inside the theater, and severely weakens Kalabar. Kalabar obtains the talisman and says he will use it to become the ruler of both the mortal and magical world. Dylan is revealed to have magic powers and eventually joins Gwen, Aggie, and his sisters in confronting Kalabar and using their combined powers to defeat him. Luke is restored to his goblin appearance.
The film ends with the family getting on the bus and blasting off to the mortal world. Gwen and Aggie decide to train Marnie as a witch and Aggie decides to stay in the mortal world to spend more time with her grandchildren.",Duwayne Dunham,,Paul Bernbaum,,Debbie Reynolds/ Judith Hoag/ Kimberly J. Brown/ Joey Zimmerman/ Emily Roeske,Michael Slovis,,,Singer-White Entertainment,,,84 minutes,$4 Million,
Halloweentown High,Monster,"One year after the previous movie, Marnie Piper prepares to begin a new school year. She asks the Halloweentown Council to work toward openness between Halloweentown and the mortal world. She proposes bringing a group of Halloweentown students to her own high school in the mortal world. The council is initially apprehensive, mostly due to the legend of the Knights of the Iron Dagger: a fanatical order of knights who wanted to destroy all things magical. The Halloweentown High Council, however, agrees to accept the plan after Marnie mistakenly bets ""all the Cromwell magic"" that her plan will work. If she does not prove she is right by midnight on Halloween, then her entire family will lose their magical abilities. Marnie, regretting what she said to the council, wants to cancel the program she has made, but her grandmother Aggie opposes, saying that they have nothing to fear.
The Halloweentown students arrive and are magically given human appearances to disguise their true non-human natures. School begins with Marnie acting as a tour guide for the exchange group, claiming they are from Canada. Aggie substitute teaches so she can be available in case of need. Cody, a new student, shows a romantic interest in Marnie.
While Aggie proves unable to teach any subject effectively, the Halloweentown students keep to themselves, hiding in the refuge that Aggie magically creates for them in a remote student locker. Marnie gradually encourages the students to join sports teams, school activities, and to make new friends.
Marnie's progress is interrupted by a warning that appears to be from the Knights of the Iron Dagger, then by a magical incident at the mall that results in the Halloweentown students assuming their natural appearances in public. This is followed by a break-in at the secret magical locker and the disappearance of Cassie.
Meanwhile, Marnie's developing relationship with Cody parallels an unexpected romance beginning between Aggie and the school's principal Phil Flannigan. Aggie suspects Cody of being the cause of the trouble and tries to convince Marnie to halt their relationship, but Marnie in turn suspects Flannigan. They eventually discover that Flannigan is the Knight in question; he was told prior to the students' arrival that he was the last of the Order.
Edgar Dalloway, head of the Witches' Council and father of one of the students, is the real root of their problems. He wants to keep Halloweentown isolated from the mortal world, and used Flannigan to ensure the failure of Marnie's project. This, he hoped, would cause a negative reaction in Halloweentown and keep the portal between Halloweentown and the mortal world closed.
The Halloweentown students use the school's Halloween carnival to improve mortal attitudes toward magical folk. Their haunted house depicts the ordinary lives of creatures that have typically been seen as monsters in the mortal world, including displays like the ""Monster Tea Party"" and ogres ""picnicking in their natural setting"", which winds up boring the carnival goers. Meanwhile, Marnie's mother Gwen uses a Witch's Glass to hunt down Cassie.
At the school carnival, Dalloway launches magical attacks against the mortal students by bringing the inanimate monsters in the haunted house to life. The ensuing panic spirals beyond Marnie's and Aggie's ability to contain the monsters. Flannigan incites a mob to corner the Halloweentown students. Cody tames the crowd, the students reveal themselves, and the crowd accepts them for who they are. Flannigan also renounces being a knight and accepts Aggie.
Dalloway claims the Cromwell magic and explains that his son Ethan helped with most of the things that happened, but Gwen has shown the evening's events to the Halloweentown High Council. They return the Cromwell magic, Gwen returns with the imprisoned student, and the Council imprisons Dalloway in another Witch's Glass taking his disagreement with them as a form of resignation and taking the families magic.
The portal between Halloweentown and the mortal world opens inside the haunted house, and crowds of children from Halloweentown cross over to enjoy the carnival together with children of the mortal world. Marnie flies off for a romantic broom ride with Cody. While flying over the carnival, they kiss.",Mark A.Z. Dippé,Dan Berendsen,,,Debbie Reynolds/ Kimberly J. Brown/ Joey Zimmerman/ Judith Hoag/ Emily Roeske/ Lucas Grabeel/ Olesya Rulin,Bob Seaman,,,Just Singer Entertainment,,,82 minutes,,
